state,state_abbrev,patient_discharge_categories,antpostfusion_453-455,backneck_518-520,bariatric_619-621,bilateral_major_lower_extremity_461-462,hand_wrist_513-514,hip_femur_not_joint_480-482,hip_knee_replace_469-470,hip_knee_revise_466-468,upper_joint_limb_reattach_483-484,knee_other_485-489,lower_extremity_humer_492-494,other_musc_515-517,shoulder_elbow_forearm_510-512,major_joint_shoulder_elbow_507-508,spinal_fusion_curve_malig_infect_456-458,spinal_fusion_except_cervical_459-460,spinal_neuro_28-30,coronary_bypass_234-236,cervical_spinal_fusion_471-473
Utah,UT,Female,40270.6921,10991.99558,11299.52081,24030.96631,9618.442898,14982.6587,15325.87862,20433.72443,18660.73361,12016.98666,13779.87793,20173.06585,12458.55426,10980.44211,48874.80695,25478.1517,20190.28256,33522.50828,14429.66859
Vermont,VT,18-44,66822.52609,15994.72165,16157.07076,34218.74734,12676.68935,23438.53409,24970.5882,34859.25177,31776.62694,24906.43221,20638.61749,27363.95202,16368.31994,,56027.80173,31234.87397,21189.21109,28412.61334,19172.52316
Vermont,VT,45-64,60945.19516,11735.98478,17037.6226,36705.75085,12676.68935,20939.34279,24470.23631,40096.81272,32072.09452,25180.71097,19897.63998,30217.99245,16368.31994,,56027.80173,34465.90188,25644.47029,28187.40984,21149.59108
Vermont,VT,Male,63477.85283,17269.92601,17514.63725,35253.97575,12676.68935,20642.53536,24464.68293,36087.58601,31027.70621,24988.94078,19987.33741,28615.40282,16368.31994,,60252.48735,35807.43451,24608.39059,28103.05318,20338.08033
Vermont,VT,Female,70645.0098,13444.31292,16239.22599,33433.79393,12676.68935,20635.48853,23742.82968,34058.97339,32543.59396,26125.66842,20601.73133,25993.31542,16368.31994,,51478.14029,31784.51332,23786.04263,29972.79656,22051.54396
Washington,WA,18-44,66184.9796,13835.90152,17007.41014,30307.81538,10485.75449,23996.84053,21399.91529,27734.26549,20444.29243,20813.38044,20641.34585,25250.25579,17798.26565,17092.87327,70754.01734,35261.88659,28608.75233,45930.18948,20435.03836
Washington,WA,45-64,64338.43352,13950.62879,17465.31362,30089.94991,10380.67812,22052.64586,19670.67303,29259.34874,21336.857,18057.18087,20348.09911,24327.69486,17136.80682,15740.57427,71686.06443,36020.15368,33692.22939,43894.74991,21793.98212
Washington,WA,Male,65158.32542,14482.56391,17619.25074,30829.96745,11383.73947,22453.82309,19808.30016,29077.79138,21221.81678,19694.59282,20831.62386,29402.02792,16970.50384,19167.51858,81755.98995,36945.70643,40092.69088,43938.85719,23248.336
Washington,WA,Female,63856.47674,13104.76561,17205.68303,29291.89057,10135.85747,20060.05898,19791.30924,29380.05999,22465.16936,16678.59237,18977.47679,25764.32075,16024.96031,15781.8409,73316.60009,35554.00818,29508.67393,44599.05001,21909.34032
West Virginia,WV,18-44,56772.09949,12140.03758,12257.40695,23899.31893,8411.37307,17154.84518,16845.10046,19468.83767,17690.71507,33352.0233,13579.93513,16874.98885,12289.0721,12835.26578,73206.57137,32240.73806,30089.95448,31435.73142,16198.72403
West Virginia,WV,45-64,50229.92979,10296.23114,13198.26532,24294.54331,8709.632783,16374.79155,16647.02788,23314.55486,17854.04606,13529.18556,14520.55912,19643.72172,12809.7451,12835.26578,62206.83297,29360.03431,31012.64936,34075.56313,18103.6066
West Virginia,WV,Male,51119.89385,13127.83597,12376.75334,23667.68361,7973.500876,16099.66923,16941.8287,24088.64544,18666.72417,23220.86405,14042.99827,21724.30446,11958.8528,12940.42961,67024.41414,31828.9344,30488.58501,34458.16397,19606.72182
West Virginia,WV,Female,54539.88223,10474.55674,12812.68385,24066.2633,8840.266355,15307.41445,16838.18235,26253.81304,19438.3119,13208.04462,13761.12065,17225.21683,11792.32734,12710.98126,61603.5516,29855.42671,26396.81591,36322.97254,18161.97646
Wisconsin,WI,18-44,39380.95204,20807.02682,15394.90122,31296.60605,9990.58378,20390.56568,18871.24663,24937.56171,16353.11351,17880.37067,15984.15835,19263.05756,15373.51059,14935.50351,51634.548,28565.74906,19521.89245,41238.87321,18355.97532
Wisconsin,WI,45-64,44280.27481,13300.96263,16067.68168,26587.16667,9885.983538,18679.92324,17347.73241,23804.35043,17771.8817,13858.73362,16484.18984,20966.07752,14327.3173,14848.31338,59856.34428,29284.33589,24845.4246,36947.28481,19400.82968
Wisconsin,WI,Male,45724.26939,14823.09669,17072.38398,27440.81212,9667.514352,18193.52562,17563.30308,24056.09514,18171.01757,15554.21917,16835.11638,20343.66483,14930.04081,17653.35032,51143.67381,29292.85434,26103.31009,37243.64687,20660.5508
Wisconsin,WI,Female,42968.44568,13592.39435,15548.32128,26470.39218,10353.02686,17310.3934,17419.83518,24472.06014,19202.121,14784.61369,15427.80765,17586.90361,13617.95733,13382.44819,52439.57188,27769.84932,21912.83357,38631.46452,19273.04725
Wyoming,WY,18-44,82329.04356,17360.34273,17292.89373,48561.32129,14247.08362,23708.85105,28770.89142,41764.82989,30009.24141,27566.238,20731.15569,24230.79567,17465.11005,,113388.3205,49233.12864,27390.54264,59296.22342,25226.01653
Wyoming,WY,45-64,82329.04356,17360.34273,18003.43625,49902.55604,14247.08362,26546.80097,27132.58973,39322.53755,30022.46152,25856.24471,21380.79551,24395.00526,15931.87158,,113388.3205,54009.47653,28632.73117,56709.25352,30559.76751
Wyoming,WY,Male,82329.04356,15745.5749,17847.39246,49311.81604,14247.08362,22026.93782,27426.21827,45144.14378,28679.77965,24860.368,20581.21259,23595.98652,16734.089,,113388.3205,55771.36617,31381.20549,60340.20884,29929.85535
Wyoming,WY,Female,82329.04356,17360.34273,17578.46252,47655.55177,14247.08362,23165.27714,27056.44803,40007.58667,31230.17569,19260.48404,20216.49001,25183.00938,18470.264,,113388.3205,54713.88955,23869.36953,53594.45691,28783.14053
