state,state_abbrev,patient_discharge_categories,antpostfusion_453-455,backneck_518-520,bariatric_619-621,bilateral_major_lower_extremity_461-462,hand_wrist_513-514,hip_femur_not_joint_480-482,hip_knee_replace_469-470,hip_knee_revise_466-468,upper_joint_limb_reattach_483-484,knee_other_485-489,lower_extremity_humer_492-494,other_musc_515-517,shoulder_elbow_forearm_510-512,major_joint_shoulder_elbow_507-508,spinal_fusion_curve_malig_infect_456-458,spinal_fusion_except_cervical_459-460,spinal_neuro_28-30,coronary_bypass_234-236,cervical_spinal_fusion_471-473
Maine,ME,Female,46952.56205,11190.86095,12517.05901,25928.51735,13267.79576,16754.80034,16874.99279,21799.64988,19967.97341,15555.1366,15351.627,16312.64898,12710.92589,,33453.88195,20050.5951,16148.389,38438.82293,11279.76258
Maryland,MD,18-44,41754.21966,10397.90885,11604.85093,28078.79073,11691.32046,20175.56587,18423.3811,23914.3157,17609.87689,15555.86271,17126.69877,20069.41007,13675.94908,12182.79038,60666.89569,31905.71745,19265.80257,29381.27213,19581.34125
Maryland,MD,45-64,50985.37529,11581.29452,12308.79761,27713.75073,7761.609405,19325.09991,17201.97026,23596.6331,18946.01542,13768.8833,17827.70741,20857.19227,13328.2543,13260.49113,53425.1246,32338.07381,24077.42287,30928.09284,21206.97358
Maryland,MD,Male,54933.22909,11570.63803,12938.06291,27991.92775,10534.43606,19078.74845,17090.12265,24211.68776,19134.84992,14879.59911,17815.37397,19532.30095,14182.40646,12668.03285,55297.7255,32916.49242,27976.57842,30627.98964,22343.10648
Maryland,MD,Female,46448.76065,11877.09374,11898.19494,26102.77538,7844.895353,16575.18914,17102.2381,23642.46923,19644.81122,14042.0651,16157.40146,18511.4366,12667.57213,12668.04657,53731.24847,32062.41617,19643.82452,32992.13694,21324.89931
Massachusetts,MA,18-44,53359.50094,11259.24855,13125.24926,30039.74276,11495.23109,20775.0354,18571.78596,23209.5261,26401.85894,17794.4641,14315.46151,22422.04771,12840.13709,13092.77754,65814.58076,32682.77095,25625.69829,38706.5558,18091.40901
Massachusetts,MA,45-64,55098.82402,12161.53179,14151.24057,27445.33827,11965.02558,19362.05924,17931.63629,25197.22588,21153.48594,16090.92125,15257.7671,20377.08307,13268.66327,15695.14977,64595.41002,33069.77925,28482.75392,36827.88892,19543.07998
Massachusetts,MA,Male,59054.28534,12972.31782,14738.55059,27861.89752,12144.16678,20454.38981,18216.87564,26466.57659,21804.48472,17485.18966,15587.29768,21119.69418,13544.92151,12813.71374,66987.31485,32985.07467,27016.05306,36711.06513,21302.39016
Massachusetts,MA,Female,57690.79381,11995.64101,13410.2232,30787.8978,12064.30029,17970.92721,18014.88077,25674.19288,22091.55467,15500.2311,14517.77754,20402.64769,12949.99691,16674.5134,64511.64466,31946.73228,25656.84472,39770.58806,19894.44215
Michigan,MI,18-44,39991.91042,9955.72373,10456.20762,21838.3649,8984.641634,14959.38569,15144.51701,19583.93357,14615.11939,14376.83423,13628.02508,16166.91966,12540.00575,11354.10272,47139.7219,22733.94296,25625.69829,30933.18505,13348.51574
Michigan,MI,45-64,44546.19016,10096.47828,11206.09499,22303.12339,8780.514192,16800.09422,14375.75749,20824.71802,15798.26644,12430.0336,14188.8332,17537.60945,11363.27292,11962.48611,41535.34565,24520.95148,28482.75392,31793.76986,15066.93946
Michigan,MI,Male,45530.36277,10172.44462,11811.2134,21918.23061,9519.289575,15667.67428,14525.20446,21603.26201,16365.21702,13334.58433,14163.54687,17754.98131,11767.93202,11417.01333,41006.43625,25237.4313,27016.05306,32096.71588,16061.2574
Michigan,MI,Female,44764.28621,10435.26622,10676.40097,22360.4791,9055.238618,14887.3023,14455.50941,21061.56258,16709.94069,12607.03292,13550.04279,15235.88117,11419.70911,11276.29222,42417.08598,24123.42237,25656.84472,33360.79956,15011.91904
Minnesota,MN,18-44,36962.01794,9730.460039,12995.9963,27385.60152,10214.89657,18526.07057,16524.66526,22225.86108,18138.08894,16521.61585,14813.46577,16784.51389,12298.45279,12149.87764,53068.56272,27018.20526,23460.969,36650.5162,13994.07216
Minnesota,MN,45-64,40399.33324,11650.56794,14047.29299,24304.1934,12296.21399,17746.66136,16380.28077,23310.51163,17558.50535,13905.50593,14739.2044,18972.26322,12565.84365,14157.40083,47042.93964,25974.52115,20005.57263,33708.97871,15258.66469
Minnesota,MN,Male,41567.93052,12603.89377,14365.28502,24805.11573,11157.0719,19863.96228,16779.54459,24519.86004,17601.12285,15975.37151,14924.04532,21792.50748,12947.0677,13847.34867,52880.79317,27626.73027,33128.27748,34773.43079,17159.80106
Minnesota,MN,Female,42203.40693,11529.09715,13425.38087,25590.03373,11884.10081,17757.29028,16814.70691,23582.89586,18568.44976,14966.39405,14734.36275,20493.29379,12197.8109,14218.93645,48995.26665,25642.43765,26741.06605,36315.1325,15346.99791
Missouri,MO,18-44,40372.4164,11095.40632,11222.95752,20760.57841,9362.856237,18201.6729,14903.00695,22287.00279,15102.10577,17096.1365,14587.49102,17993.51777,12801.71474,13037.55065,67916.37587,28746.92978,22301.72424,31509.95156,17028.4452
Missouri,MO,45-64,44573.50329,11751.28207,12166.59724,21937.92182,9474.158751,16416.98257,13646.59559,22874.09985,14999.5226,14656.88382,14797.44727,17682.86481,12898.22383,14444.73554,62660.59047,28312.53069,24413.77124,33190.16224,18519.28851
Missouri,MO,Male,44692.07919,12058.06367,13076.63926,21567.62742,9267.293251,17242.74094,13827.15288,23788.6764,15116.50254,15360.49563,15168.15211,19707.42793,12276.4445,14075.09921,65719.7924,29013.4737,24691.40049,33005.89682,19660.0424
Missouri,MO,Female,43156.16969,11471.17993,11703.11395,23013.56394,10953.81187,15712.24521,13930.89934,23091.24263,16122.01454,14430.15973,14158.08744,17444.11441,11960.61878,13905.41289,64843.73641,27602.59737,20702.29821,35298.70768,17294.69496
Nebraska,NE,18-44,41795.21774,10465.62267,15716.34362,31080.25531,13533.85207,20772.25909,18968.10296,19534.08834,19584.3181,14107.2289,17878.30783,22525.98013,18422.22656,15386.30096,71072.52478,29319.48868,22376.39108,36330.18399,15558.27859
Nebraska,NE,45-64,55217.99353,12522.33084,17115.25086,31347.58855,10598.39117,19163.31052,18628.03849,24819.39291,17916.42243,18262.46915,18886.44052,18456.38806,16595.47126,15386.30096,50377.70129,31041.74388,29632.65247,35020.544,19012.94468
Nebraska,NE,Male,50347.05474,14583.47819,17962.79123,32006.47027,12990.64055,18699.80452,19325.71792,25954.47708,19372.58805,20068.19986,18102.6648,21063.82782,18309.38383,15386.30096,71569.50188,32296.93336,26568.53451,35364.84208,20303.83726
Nebraska,NE,Female,58853.17845,12957.15276,16463.13942,30426.94298,8230.313278,17983.41609,19262.05068,26985.24592,19714.52934,15629.90293,17403.07523,18703.11766,14989.11949,15386.30096,70829.10742,31659.7784,22580.93112,36246.26825,18665.61515
Nevada,NV,18-44,35333.74676,9760.345751,8091.892753,24647.00865,8717.521819,18559.12839,17807.2171,23515.00395,17744.69569,15687.39759,15356.72559,13980.8584,13207.44475,13826.47259,60473.39657,26978.39314,23829.18269,37644.60251,14083.46707
Nevada,NV,45-64,39325.05975,10228.41319,9230.870527,26382.58171,8170.558844,15311.33885,15737.28392,24288.07122,17446.20828,14208.67011,14896.5992,20934.95804,13278.89425,13826.47259,45860.22854,26113.20556,20727.05767,37970.66218,15871.93393
Nevada,NV,Male,43252.03447,10738.15831,9655.227863,27113.1599,8839.628885,16413.01721,16122.01839,25927.91872,17163.55846,14586.77776,15241.20509,18121.16985,12562.31027,12192.15456,53848.55681,26849.95126,25602.7119,38719.2912,17259.83466
Nevada,NV,Female,38921.35848,10485.49805,8570.709028,22533.16472,8351.374704,14986.12826,16053.61314,25495.01886,18221.38016,12422.84861,13447.3134,17466.21271,11884.50855,13826.47259,47277.89594,25387.92873,19061.68289,39764.31843,15507.17018
New Jersey,NJ,18-44,30599.08549,9022.839601,8474.757157,16961.68364,6860.640032,18971.33243,13102.78281,18372.22271,12573.52836,15370.08666,12326.79638,16940.32824,9829.853703,9796.88732,39279.58061,22120.49475,25182.05916,32994.7619,13703.59807
New Jersey,NJ,45-64,35255.05811,9995.591948,8736.80302,17001.7444,9071.313823,16362.95531,12338.18575,17435.83151,12857.58482,13579.34634,13417.13934,16362.88737,10179.55501,10489.25914,45809.92927,22431.11494,23579.60216,30836.96783,14497.09785
New Jersey,NJ,Male,34384.85882,10084.89912,8864.390377,16680.65612,7073.029363,16614.89995,12742.93131,18366.00688,13519.1335,14383.8844,12905.8913,17059.5517,9724.801051,11486.8555,41670.91998,22121.72408,26366.32018,31181.00966,15616.05076
New Jersey,NJ,Female,35992.09117,10184.09542,8529.916577,16643.11003,8635.48478,14131.01244,12627.57449,18210.98526,14304.14629,13488.95538,12183.87449,16864.20319,9365.463313,11005.97973,36363.10794,21971.39835,21095.30843,32812.01571,14532.1277
New Mexico,NM,18-44,62442.63382,11326.14204,11675.45779,25199.01369,8430.575301,18360.31768,17204.61943,21661.51572,18524.97056,16208.04553,15366.98895,18821.73393,12219.08265,15269.59142,52215.84399,30157.30363,31233.5485,32816.20295,18491.66702
New Mexico,NM,45-64,64193.14294,11052.97555,13789.86815,24685.39716,11491.72384,18221.89039,16505.83852,22053.54622,17634.07055,15161.66602,16751.79993,22727.40066,13725.26267,15269.59142,61123.27739,31208.38868,24132.33501,33451.70308,21025.52452
New Mexico,NM,Male,63886.04391,11041.23427,15270.11172,24295.52388,8461.128904,16384.8164,16517.81517,22472.25533,19562.05924,14915.28196,15001.71892,18748.25989,12462.41844,14600.95876,53150.46629,30854.79034,30284.8255,33109.92284,22717.83759
New Mexico,NM,Female,61045.78534,11196.10118,11881.40078,25995.7921,11739.8102,14111.75723,16487.54404,22466.74315,17780.50441,15060.23079,14491.30467,15351.63604,12335.35742,15999.00887,51514.87726,30199.35828,20318.62229,31758.81137,19883.58966
New York,NY,18-44,39388.54697,10819.01839,10210.54592,35663.60442,7892.48814,19998.25769,18487.14036,23450.89031,16133.91296,16038.02071,14793.99536,19156.45958,11100.69427,12929.63164,60539.21818,25979.01246,24288.49406,33698.48859,14962.46673
New York,NY,45-64,47619.70237,11808.87771,11280.49046,31419.23787,8999.272527,20301.34437,16856.23654,23852.37783,16719.89658,16797.50135,16128.61099,19877.49645,11664.63442,14114.423,63008.78443,28373.03402,27827.21517,33525.77384,17205.84878
New York,NY,Male,48129.72421,12072.74887,11660.18164,30690.45005,8231.846835,19507.86339,17241.84269,24870.65803,16791.37443,17223.36391,15297.25699,20729.41026,11119.70311,14727.21713,57967.59981,28112.43181,31174.07989,34052.52922,18322.43306
New York,NY,Female,48036.54132,12282.96666,10531.56014,30533.28548,8935.774968,17915.7571,17124.29346,25350.00774,18446.88917,15594.08812,14782.10256,21507.20829,11316.18835,14011.94024,57042.55866,27908.23408,24380.18699,35683.47113,17322.55995
North Carolina,NC,18-44,42453.3925,10757.67531,13218.88996,25762.02698,9205.709129,17278.38097,16418.17413,20601.96454,16638.75909,14869.05675,15698.19106,17892.17758,15117.95026,12563.9718,43911.24708,31102.47748,22123.38609,36778.12624,17610.40108
North Carolina,NC,45-64,50714.63117,11943.578,14020.11405,26754.62834,9406.218195,16972.67988,15996.4271,23706.86925,18435.65711,14308.95951,16381.74158,17478.80136,15721.75473,12058.64348,53165.95413,31961.41488,22528.32181,35939.37888,19132.97776
North Carolina,NC,Male,53019.00233,11729.14709,14364.3526,25990.52635,8804.258048,16097.37169,16100.93976,23700.98408,18843.42674,14571.50637,15633.80135,18463.71873,14832.27504,10953.74438,47577.80739,32375.26329,24474.16959,35717.35234,20020.86951
North Carolina,NC,Female,55655.12182,11491.36475,13459.95519,26244.0774,9165.802362,14902.03157,15904.79258,23874.12245,18913.19347,12903.99457,14667.71816,16580.13382,12598.7002,13740.64342,48010.90317,31150.18,20241.99944,36435.66866,19033.87473
North Dakota,ND,18-44,46372.35669,7145.022051,12985.7938,25097.25053,6942.726882,15590.53292,15263.1545,23869.34486,18681.42961,14699.91398,14040.1523,14294.55616,12509.29377,14993.89147,39362.86622,26563.72235,16854.61066,34145.2512,13880.97646
North Dakota,ND,45-64,40139.99655,6491.880492,13416.18187,24357.8886,7817.890909,16007.38125,15370.44311,22204.63417,18064.58145,11672.73369,12827.82575,16262.11125,12612.94626,14993.89147,40455.44418,27349.43604,25037.91921,30529.16369,14258.42093
North Dakota,ND,Male,46372.35669,7472.225691,13343.74613,25342.86678,8055.241933,16636.87718,15770.0706,23740.11377,18249.22102,13902.43536,13736.06434,14062.44233,13351.18828,14993.89147,38536.24558,27867.26281,23791.35431,30862.60099,14898.44285
North Dakota,ND,Female,45122.30306,8122.384783,13222.91978,24848.22294,7446.328872,15882.90313,15503.66239,23992.37993,19051.89411,11374.93749,12858.39947,15302.1248,11204.64637,14993.89147,39891.90343,27193.37476,18460.97238,31893.36998,14744.69076
Oklahoma,OK,18-44,40222.82111,7560.986767,13626.95262,23068.7834,8962.784851,16823.50102,15059.98449,18470.93158,15273.80619,12816.22162,14154.89628,16280.87902,12885.827,10394.31441,41709.32123,22845.42405,25149.44933,28101.48635,12404.02859
Oklahoma,OK,45-64,47489.66621,8000.963984,14360.3179,22530.03998,11379.10229,15629.53744,14449.92811,20354.27754,16524.87195,12703.40785,15613.19895,18366.83578,12304.9056,9004.876027,49539.6277,22909.05173,19820.3793,28261.89385,13265.94126
Oklahoma,OK,Male,47664.60444,8752.2416,15071.00965,21948.03535,9937.327134,14841.47645,14657.38155,21184.16986,16579.233,13000.89152,14286.8005,17413.74731,11764.80413,10235.00703,44577.23667,23173.10259,22439.07646,27541.41902,13845.01098
Oklahoma,OK,Female,44749.46484,7605.189261,13755.41455,24117.99435,9806.679514,14179.2724,14537.4977,20915.91438,17004.61182,11236.16215,13892.95909,15854.29627,10939.31329,10724.30827,44957.9214,22854.0149,19615.3328,28887.98169,13283.6621
