state,state_abbrev,patient_discharge_categories,total_pop_priv_insured,his_private_insurance_discharges,percent_discharges_priv_of_ins_pop,percent_discharges_private,state_pop_numbers,total_number_discharges,percent_discharges,discharges_antpostfusion_453-455,discharges_backneck_518-520,discharges_bariatric_619-621,discharges_bilateral_major_lower_extremity_461-462,discharges_hand_wrist_513-514,discharges_hip_femur_not_joint_480-482,discharges_hip_knee_replace_469-470,discharges_hip_knee_revise_466-468,discharges_upper_joint_limb_reattach_483-484,discharges_knee_other_485-489,discharges_lower_extremity_humer_492-494,discharges_other_musc_515-517,discharges_shoulder_elbow_forearm_510-512,discharges_major_joint_shoulder_elbow_507-508,discharges_spinal_fusion_curve_malig_infect_456-458,discharges_spinal_fusion_except_cervical_459-460,discharges_spinal_neuro_28-30,discharges_coronary_bypass_234-236,discharges_cervical_spinal_fusion_471-473
Tennessee,TN,Female,3613700,179566,4.969,26.1,2112823,397333,57.75323263,411,262,2499,681,65,3637,14300,1199,1033,432,2166,479,311,27,484,3445,366,777,1670
Texas,TX,18-44,14165800,942643,6.654,34.3,10308224,750084,27.29468959,811,458,7205,55,525,1292,1643,220,123,543,3655,698,756,57,182,2650,898,219,2404
Texas,TX,45-64,14165800,942643,6.654,34.3,6434039,637181,23.18627995,2008,913,6357,1095,410,2728,25299,2457,1352,1055,4413,978,721,100,404,7111,1105,3412,7856
Texas,TX,Male,14165800,942643,6.654,34.3,8230374,1131456,41.17237577,1857,1329,3621,911,873,6241,26328,2470,2059,1451,6009,2050,1271,152,589,7475,1484,5647,6814
Texas,TX,Female,14165800,942643,6.654,34.3,8511889,1615664,58.7921451,2182,1033,11286,1095,294,11681,40072,3456,2899,1307,6787,2298,1351,116,1163,9048,1616,1789,7454
Utah,UT,18-44,1952500,126136,6.460,47.49,1160360,85908,32.34159178,39,48,579,13,32,188,401,59,23,80,455,105,52,0,37,474,121,14,284
Utah,UT,45-64,1952500,126136,6.460,47.49,583167,48113,18.11299303,103,79,454,215,30,289,5315,513,333,192,475,100,50,16,68,1170,107,222,894
Utah,UT,Male,1952500,126136,6.460,47.49,868507,105466,39.70454811,119,116,331,191,56,731,4875,543,509,239,756,247,85,23,134,1385,220,480,847
Utah,UT,Female,1952500,126136,6.460,47.49,875020,160139,60.2871696,144,88,794,217,21,1178,7287,751,588,232,776,262,100,13,227,1521,168,112,788
Vermont,VT,18-44,364000,16035,4.405,32.35,210915,10981,22.15519329,0,0,0,0,0,33,55,0,0,14,69,0,0,0,0,71,21,0,44
Vermont,VT,45-64,364000,16035,4.405,32.35,187862,11420,23.04091679,0,13,0,70,14,88,787,43,51,24,122,17,19,0,27,178,17,8,113
Vermont,VT,Male,364000,16035,4.405,32.35,194481,21641,43.66273908,0,24,0,69,0,193,913,43,85,31,130,23,0,0,14,175,31,5,107
Vermont,VT,Female,364000,16035,4.405,32.35,204296,27921,56.33322573,0,12,0,91,0,314,1116,66,83,27,164,21,0,0,13,183,34,3,95
Washington,WA,18-44,3872500,235965,6.093,37.76,2608438,158009,25.28609264,92,153,764,19,133,341,584,71,52,198,975,175,109,19,42,635,177,49,596
Washington,WA,45-64,3872500,235965,6.093,37.76,1857616,146030,23.36909991,472,367,991,427,95,750,10934,857,649,361,1406,306,125,29,137,2111,247,757,2098
Washington,WA,Male,3872500,235965,6.093,37.76,2217267,264667,42.35451323,470,506,477,345,214,1577,11396,880,1056,469,1738,523,213,37,211,2279,398,1490,1892
Washington,WA,Female,3872500,235965,6.093,37.76,2248787,360210,57.64420653,581,404,1528,398,73,3204,15906,1261,1186,448,2059,507,265,34,388,2685,331,359,1868
West Virginia,WV,18-44,851700,59322,6.965,23.1,619163,56198,21.88344509,20,44,521,0,30,127,175,20,19,87,426,49,55,0,15,129,51,59,205
West Virginia,WV,45-64,851700,59322,6.965,23.1,522404,70283,27.36813003,106,93,438,100,20,359,3012,191,160,134,564,93,66,0,21,380,76,669,600
West Virginia,WV,Male,851700,59322,6.965,23.1,558734,110191,42.90826538,92,130,216,80,51,639,2741,200,213,189,699,148,116,13,32,387,106,964,544
West Virginia,WV,Female,851700,59322,6.965,23.1,582833,146298,56.96829513,108,87,798,111,22,1441,4595,279,285,128,873,127,114,11,56,442,103,359,478
Wisconsin,WI,18-44,3498300,193071,5.519,33.23,1984592,134088,23.08109401,143,70,688,12,50,259,656,68,36,107,720,133,75,0,26,558,173,48,386
Wisconsin,WI,45-64,3498300,193071,5.519,33.23,1596915,140050,24.10735649,425,188,658,464,62,685,12145,953,645,309,1198,234,110,17,73,1686,222,993,1173
Wisconsin,WI,Male,3498300,193071,5.519,33.23,1763327,249572,42.95980845,333,263,337,353,106,1464,12009,970,914,361,1325,453,156,16,116,1573,306,1718,1036
Wisconsin,WI,Female,3498300,193071,5.519,33.23,1818180,331366,57.03933088,379,183,1136,436,53,2973,16516,1282,1253,398,1709,510,226,28,212,1940,301,528,1012
Wyoming,WY,18-44,379800,13485,3.551,29.6,209998,12655,27.78021689,0,0,30,0,0,21,37,0,0,14,81,0,0,0,0,54,0,0,40
Wyoming,WY,45-64,379800,13485,3.551,29.6,154191,9525,20.90925056,13,22,32,35,13,55,622,33,64,14,116,13,13,0,13,146,14,33,94
Wyoming,WY,Male,379800,13485,3.551,29.6,185595,18625,40.88554243,4,12,13,35,0,115,651,26,90,30,123,21,22,0,0,165,15,71,94
Wyoming,WY,Female,379800,13485,3.551,29.6,178594,26770,58.76542126,9,10,52,29,0,206,834,50,98,22,158,14,16,0,0,159,17,13,89
