,proc_id,cpt_1,cpt_2,cpt_3,cpt_4,cpt_5,cpt_6,cpt_7,total_cost - mean,patient_cost - mean,Episode Count,carrum_price_1,carrum_price_2,carrum_price_3,carrum_price_4,carrum_price_5,carrum_price_6,carrum_price_7,highest_cost,id,7th-largest,6th-largest,5th-largest,4th-largest,3nd-largest,2nd-largest,largest,final_cost,estimated_paid_amounts
184,184,29838,29834,-999,-999,-999,-999,-999,8756.63,107.5,3,9275,9275,,,,,,9275,184,9275,9275,,,,,,13912.5,8649.13
185,185,29838,-999,-999,-999,-999,-999,-999,8756.63,107.5,5,9275,,,,,,,9275,185,9275,,,,,,,9275,8649.13
186,186,29840,-999,-999,-999,-999,-999,-999,3190,0,3,9000,,,,,,,9000,186,9000,,,,,,,9000,3190
187,187,29844,29845,-999,-999,-999,-999,-999,4891.951111,163.8225,1,9000,9000,,,,,,9000,187,9000,9000,,,,,,13500,4728.128611
188,188,29844,-999,-999,-999,-999,-999,-999,3542.63,734.93,1,9000,,,,,,,9000,188,9000,,,,,,,9000,2807.7
189,189,29845,20680,-999,-999,-999,-999,-999,4315.69,282.7825,1,9000,7025,,,,,,9000,189,7025,9000,,,,,,12512.5,4032.9075
190,190,29845,-999,-999,-999,-999,-999,-999,4891.951111,163.8225,3,9000,,,,,,,9000,190,9000,,,,,,,9000,4728.128611
191,191,29846,20680,-999,-999,-999,-999,-999,4315.69,282.7825,1,9000,7025,,,,,,9000,191,7025,9000,,,,,,12512.5,4032.9075
192,192,29846,29845,-999,-999,-999,-999,-999,4891.951111,163.8225,1,9000,9000,,,,,,9000,192,9000,9000,,,,,,13500,4728.128611
193,193,29846,-999,-999,-999,-999,-999,-999,3038.46,128.4866667,6,9000,,,,,,,9000,193,9000,,,,,,,9000,2909.973333
194,194,29848,26055,-999,-999,-999,-999,-999,4315.69,282.7825,5,6900,6945,,,,,,6945,194,6900,6945,,,,,,10395,4032.9075
195,195,29848,-999,-999,-999,-999,-999,-999,4891.951111,163.8225,33,6900,,,,,,,6900,195,6900,,,,,,,6900,4728.128611
196,196,29880,29881,29882,-999,-999,-999,-999,19108.97,59.93,1,7570,7570,11100,,,,,11100,196,7570,7570,11100,,,,,16777.5,19049.04
197,197,29880,29881,-999,-999,-999,-999,-999,11884.04,54.55285714,15,7570,7570,,,,,,7570,197,7570,7570,,,,,,11355,11829.48714
198,198,29880,-999,-999,-999,-999,-999,-999,6669.235135,129.5642623,183,7570,,,,,,,7570,198,7570,,,,,,,7570,6539.670873
199,199,29881,29883,-999,-999,-999,-999,-999,17352.71156,254.5128399,1,7570,11100,,,,,,11100,199,7570,11100,,,,,,14885,17098.19872
200,200,29881,-999,-999,-999,-999,-999,-999,7412.54427,211.2067312,413,7570,,,,,,,7570,200,7570,,,,,,,7570,7201.337539
201,201,29882,29881,-999,-999,-999,-999,-999,7467.12,0,9,11100,7570,,,,,,11100,201,7570,11100,,,,,,14885,7467.12
202,202,29882,29883,-999,-999,-999,-999,-999,17352.71156,254.5128399,1,11100,11100,,,,,,11100,202,11100,11100,,,,,,16650,17098.19872
203,203,29882,-999,-999,-999,-999,-999,-999,28384.11,1577.450556,18,11100,,,,,,,11100,203,11100,,,,,,,11100,26806.65944
204,204,29883,29888,-999,-999,-999,-999,-999,59854.31,0,1,11100,14400,,,,,,14400,204,11100,14400,,,,,,19950,59854.31
205,205,29888,20680,29881,-999,-999,-999,-999,19340.11,80.71,2,14400,7025,7570,,,,,14400,205,7025,7570,14400,,,,,19941.25,19259.4
206,206,29888,29880,20680,-999,-999,-999,-999,19340.11,80.71,1,14400,7570,7025,,,,,14400,206,7025,7570,14400,,,,,19941.25,19259.4
207,207,29888,29880,29881,-999,-999,-999,-999,19108.97,59.93,3,14400,7570,7570,,,,,14400,207,7570,7570,14400,,,,,20077.5,19049.04
208,208,29888,29880,29882,-999,-999,-999,-999,10655.81,1212,2,14400,7570,11100,,,,,14400,208,7570,11100,14400,,,,,21842.5,9443.81
209,209,29888,29880,-999,-999,-999,-999,-999,14159.72,30.41,10,14400,7570,,,,,,14400,209,7570,14400,,,,,,18185,14129.31
210,210,29888,29881,-999,-999,-999,-999,-999,16245.60091,402.2451613,39,14400,7570,,,,,,14400,210,7570,14400,,,,,,18185,15843.35575
211,211,29888,29882,20680,-999,-999,-999,-999,19340.11,80.71,1,14400,11100,7025,,,,,14400,211,7025,11100,14400,,,,,21706.25,19259.4
212,212,29888,29882,29881,-999,-999,-999,-999,2955.24,51.305,5,14400,11100,7570,,,,,14400,212,7570,11100,14400,,,,,21842.5,2903.935
213,213,29888,29882,-999,-999,-999,-999,-999,13400.9375,683.962,12,14400,11100,,,,,,14400,213,11100,14400,,,,,,19950,12716.9755
214,214,29888,-999,-999,-999,-999,-999,-999,19669.15875,121.0573913,46,14400,,,,,,,14400,214,14400,,,,,,,14400,19548.10136
215,215,29891,29897,29898,-999,-999,-999,-999,6083.87,61.25,2,7600,7600,7600,,,,,7600,215,7600,7600,7600,,,,,13300,6022.62
216,216,29891,29898,-999,-999,-999,-999,-999,6083.87,61.25,6,7600,7600,,,,,,7600,216,7600,7600,,,,,,11400,6022.62
217,217,29891,-999,-999,-999,-999,-999,-999,6083.87,61.25,2,7600,,,,,,,7600,217,7600,,,,,,,7600,6022.62
218,218,29895,-999,-999,-999,-999,-999,-999,27277.23,241.4033333,6,7600,,,,,,,7600,218,7600,,,,,,,7600,27035.82667
219,219,29897,27698,-999,-999,-999,-999,-999,5007.57,333.8366667,3,7600,10200,,,,,,10200,219,7600,10200,,,,,,14000,4673.733333
220,220,29897,29898,-999,-999,-999,-999,-999,6083.87,61.25,1,7600,7600,,,,,,7600,220,7600,7600,,,,,,11400,6022.62
221,221,29897,-999,-999,-999,-999,-999,-999,19115.01,978.8466667,3,7600,,,,,,,7600,221,7600,,,,,,,7600,18136.16333
222,222,29898,20680,-999,-999,-999,-999,-999,6136.21,0,6,7600,7025,,,,,,7600,222,7025,7600,,,,,,11112.5,6136.21
223,223,29898,20680,-999,-999,-999,-999,-999,3114.086667,53.33333333,3,7600,7025,,,,,,7600,223,7025,7600,,,,,,11112.5,3060.753334
224,224,29898,29894,-999,-999,-999,-999,-999,6083.87,61.25,7,7600,7600,,,,,,7600,224,7600,7600,,,,,,11400,6022.62
225,225,29898,-999,-999,-999,-999,-999,-999,3053.475,27.52380952,21,7600,,,,,,,7600,225,7600,,,,,,,7600,3025.95119
226,226,62320,62322,-999,-999,-999,-999,-999,38739.63,0,1,4525,4525,,,,,,4525,226,4525,4525,,,,,,6787.5,38739.63
227,227,62320,-999,-999,-999,-999,-999,-999,27537.86,8.321,20,4525,,,,,,,4525,227,4525,,,,,,,4525,27529.539
228,228,62321,62320,-999,-999,-999,-999,-999,3601.683333,42.72824147,5,4525,4525,,,,,,4525,228,4525,4525,,,,,,6787.5,3558.955092
229,229,62321,62323,62322,-999,-999,-999,-999,8691.11,393.8,1,4525,4525,4525,,,,,4525,229,4525,4525,4525,,,,,7918.75,8297.31
230,230,62321,62323,-999,-999,-999,-999,-999,862.54,31.25,5,4525,4525,,,,,,4525,230,4525,4525,,,,,,6787.5,831.29
231,231,62321,-999,-999,-999,-999,-999,-999,3601.683333,42.72824147,383,4525,,,,,,,4525,231,4525,,,,,,,4525,3558.955092
232,232,62322,-999,-999,-999,-999,-999,-999,9463.885,332.38,28,4525,,,,,,,4525,232,4525,,,,,,,4525,9131.505
233,233,62323,64483,-999,-999,-999,-999,-999,5359.865,448.115,9,4525,4525,,,,,,4525,233,4525,4525,,,,,,6787.5,4911.75
234,234,62323,64490,64491,-999,-999,-999,-999,4044.43,1086.23,1,4525,4525,4525,,,,,4525,234,4525,4525,4525,,,,,7918.75,2958.2
235,235,62323,-999,-999,-999,-999,-999,-999,2408.58125,40.56012704,551,4525,,,,,,,4525,235,4525,,,,,,,4525,2368.021123
236,236,63005,63030,-999,-999,-999,-999,-999,16396.73,2980,1,14300,14300,,,,,,14300,236,14300,14300,,,,,,21450,13416.73
237,237,63030,63050,-999,-999,-999,-999,-999,18377.57912,616.466592,1,14300,14300,,,,,,14300,237,14300,14300,,,,,,21450,17761.11253
238,238,63030,63056,-999,-999,-999,-999,-999,28799.72,0,2,14300,,,,,,,14300,238,14300,,,,,,,14300,28799.72
239,239,63030,63047,-999,-999,-999,-999,-999,13350.94,449.84,11,14300,14300,,,,,,14300,239,14300,14300,,,,,,21450,12901.1
240,240,63030,63035,-999,-999,-999,-999,-999,22970.795,0,7,14300,16560,,,,,,16560,240,14300,16560,,,,,,23710,22970.795
241,241,63030,-999,-999,-999,-999,-999,-999,10369.71059,268.9595522,68,14300,,,,,,,14300,241,14300,,,,,,,14300,10100.75104
242,242,63042,-999,-999,-999,-999,-999,-999,12399.215,986.118,7,14300,,,,,,,14300,242,14300,,,,,,,14300,11413.097
243,243,63045,63048,-999,-999,-999,-999,-999,16306.02,360,2,14300,16560,,,,,,16560,243,14300,16560,,,,,,23710,15946.02
244,244,63047,63048,-999,-999,-999,-999,-999,30213.44833,594.3094444,30,14300,16560,,,,,,16560,244,14300,16560,,,,,,23710,29619.13889
247,247,64479,64480,-999,-999,-999,-999,-999,2057.336,50.24307692,27,4525,4525,,,,,,4525,247,4525,4525,,,,,,6787.5,2007.092923
248,248,64479,-999,-999,-999,-999,-999,-999,1427.36,27.29212121,36,4525,,,,,,,4525,248,4525,,,,,,,4525,1400.067879
249,249,64483,64480,-999,-999,-999,-999,-999,2590.028193,29.87106732,1,4525,4525,,,,,,4525,249,4525,4525,,,,,,6787.5,2560.157126
250,250,64483,64484,-999,-999,-999,-999,-999,2590.028193,29.87106732,632,4525,4525,,,,,,4525,250,4525,4525,,,,,,6787.5,2560.157126
251,251,64483,-999,-999,-999,-999,-999,-999,2070.272903,49.33061497,374,4525,,,,,,,4525,251,4525,,,,,,,4525,2020.942288
252,252,64490,64491,64492,62321,-999,-999,-999,964.65,0,5,4525,4525,4525,4525,,,,4525,252,4525,4525,4525,4525,,,,9050,964.65
253,253,64490,64491,64492,-999,-999,-999,-999,4607.284074,34.7047619,116,4525,4525,4525,,,,,4525,253,4525,4525,4525,,,,,7918.75,4572.579312
254,254,64490,64491,-999,-999,-999,-999,-999,2673.803333,69.24861538,65,4525,4525,,,,,,4525,254,4525,4525,,,,,,6787.5,2604.554718
255,255,64490,-999,-999,-999,-999,-999,-999,1926.31,26.5253125,32,4525,,,,,,,4525,255,4525,,,,,,,4525,1899.784688
256,256,64491,64492,62323,-999,-999,-999,-999,4044.43,1086.23,1,4525,4525,4525,,,,,4525,256,4525,4525,4525,,,,,7918.75,2958.2
257,257,64633,64634,64490,64491,64492,-999,-999,11039.7,795.81,1,4875,4875,4525,4525,4525,,,4875,257,4525,4525,4525,4875,4875,,,10706.25,10243.89
258,258,64633,64634,-999,-999,-999,-999,-999,3346.325333,165.0752273,48,4875,4875,,,,,,4875,258,4875,4875,,,,,,7312.5,3181.250106
259,259,64633,-999,-999,-999,-999,-999,-999,1358.95,8.333333333,6,4875,,,,,,,4875,259,4875,,,,,,,4875,1350.616667
260,260,64634,-999,-999,-999,-999,-999,-999,1358.95,8.333333333,2,4875,,,,,,,4875,260,4875,,,,,,,4875,1350.616667
261,261,64635,64636,-999,-999,-999,-999,-999,3059.556042,43.53166667,183,4875,4875,,,,,,4875,261,4875,4875,,,,,,7312.5,3016.024375
262,262,64635,-999,-999,-999,-999,-999,-999,1353.63,41.26047619,21,4875,,,,,,,4875,262,4875,,,,,,,4875,1312.369524
263,263,64721,25607,25608,-999,-999,-999,-999,8067.2,8.7325,1,6900,11500,11500,,,,,11500,263,6900,11500,11500,,,,,18975,8058.4675
264,264,64721,26055,-999,-999,-999,-999,-999,5785.558,166.5958333,25,6900,6945,,,,,,6945,264,6900,6945,,,,,,10395,5618.962167
265,265,64721,-999,-999,-999,-999,-999,-999,6144.365,250.6162431,182,6900,,,,,,,6900,265,6900,,,,,,,6900,5893.748757
